♪♪♪
私はあなたの虜　息もうまくできないほど
私が望むのは　あなたに深くハマっていたいということだけ
でもどんなに近づいても一線を越えるまでにはまだ足りないの
ゲームに名前をつけましょう　さあ私がサイコロを振るわよ
ベイビーあなたが始めたのよ
2人の熱が上がっていく
とうとう起きちゃうのかしら？
あなたが動くのをずっとずっと待っているの
私が行動を起こす前に
ベイビー私を燃えさせて　そしたらあなたにも同じようにしてあげるから
ちょっと危険な感じだけど　ベイビーこれが私の望んでることなの
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
みんなの注目を浴びてしまってるけど2人だけの秘密にしておこうよ
ちょっとスキャンダルの匂いもするけれど気づかれてはダメ
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
今度はちょっと時間がかかるかも
過ちを何度も犯してしまったから
今度こそはちゃんとしたいのベイビー
ベイビーあなたが始めたのよ
2人の熱が上がっていく
とうとう起きちゃうのかしら？
あなたが動くのをずっとずっと待っているの
私が行動を起こす前に
ベイビー私を燃えさせて　そしたらあなたにも同じようにしてあげるから
ちょっと危険な感じだけど　ベイビーこれが私の望んでることなの
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
みんなの注目を浴びてしまってるけど2人だけの秘密にしておこうよ
ちょっとスキャンダルの匂いもするけれど気づかれてはダメ
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
あなたは何しにここへやって来たの？
これ以上待つなんてもう無理
もうコントロール不可能寸前なの
私が望んでいるのは　あなたに知ってもらいたことは
あなたに知ってもらいたいのはただ一つだけ
ベイビー私を燃えさせて　そしたらあなたにも同じようにしてあげるから
ちょっと危険な感じだけど　ベイビーこれが私の望んでることなの
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
みんなの注目を浴びてしまってるけど2人だけの秘密にしておこうよ
ちょっとスキャンダルの匂いもするけれど気づかれてはダメ
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
さあ私を燃えさせて 私を燃えさせてよ　ベイビー
少し危険な香り ねえ　少し危険な香りがする
おしゃべりはもうおしまい　もう少し私の体に触れてほしいの
だってこんなにもあなたに夢中　夢中なんだから
