0.0:♪♪♪
4.2:I'm so into you, I can barely breathe
12.66:And all I wanna do is to fall in deep
21.47:But close ain't close enough 'til we cross the line
30.4:So name a game to play, and I'll roll the dice, hey
38.77:Oh baby, look what you started
41.47:The temperature's rising
43.33:And here is this gonna happen?
46.07:Been waiting and waiting for you to make a move
51.6:Before I make a move
57.0:So baby, come light me up and baby I'll let you on it
61.57:A little bit dangerous, but baby, that's how I want it
66.17:A little less conversation, and a little more touch my body
70.43:'Cause I'm so into you, into you, into you
75.2:Got everyone watchin' us, so baby, let's keep it secret
79.37:A little bit scandalous, but baby, don't let them see it
83.67:A little less conversation and a little more touch my body
88.3:'Cause I'm so into you, into you, into you, oh yeah
95.63:This could take some time, hey
101.53:Made too many mistakes
104.47:Better get this right, right, baby
110.27:Oh baby, look what you started
112.57:The temperature's rising
114.37:And here is this gonna happen?
117.13:Been waiting and waiting for you to make a move
122.5:Before I make a move
128.33:So baby, come light me up and baby I'll let you on it
132.67:A little bit dangerous, but baby, that's how I want it
137.3:A little less conversation, and a little more touch my body
141.7:'Cause I'm so into you, into you, into you
146.27:Got everyone watchin' us, so baby, let's keep it secret
150.57:A little bit scandalous, but baby, don't let them see it
154.77:A little less conversation and a little more touch my body
159.37:'Cause I'm so into you, into you, into you
166.23:Tell me what you came here for
170.4:'Cause I can't, I can't wait no more
174.77:I'm on the edge with no control
179.3:And I need, I need you to know
182.1:You to know, oh
185.13:So baby, come light me up and baby I'll let you on it
189.33:A little bit dangerous, but baby, that's how I want it
193.7:A little less conversation, and a little more touch my body
198.2:'Cause I'm so into you, into you, into you
202.7:Got everyone watchin' us, so baby, let's keep it secret
207.13:A little bit scandalous, but baby, don't let them see it
211.47:A little less conversation and a little more touch my body
216.17:'Cause I'm so into you, into you, into you
220.5:So come light me up, so come light me up my baby
225.2:A little dangerous, a little dangerous my baby
229.43:A little less conversation and a little more touch my body
233.57:'Cause I'm so into you, into you, into you
