0.0:♪♪♪
5.1:I stay out too late, got nothin' in my brain
11.1:That's what people say, mmm hmm, that's what people say, mmm hmm
16.3:I go on too many dates, but I can't make 'em stay
22.2:At least that's what people say mmm mmm, that's what people say mmm mmm
29.0:But I keep cruising, can't stop, won't stop moving
34.1:It's like I got this music in my mind, sayin' it's gonna be alright
41.2:'Cause the players gonna play, play, play, play, play
44.2:And the haters gonna hate, hate, hate, hate, hate
47.2:Baby, I'm just gonna shake, shake, shake, shake, shake
50.2:I shake it off, I shake it off
53.2:Heartbreakers gonna break, break, break, break, break
56.2:And the fakers gonna fake, fake, fake, fake, fake
59.2:Baby, I'm just gonna shake, shake, shake, shake, shake
62.2:I shake it off, I shake it off
65.2:I'll never miss a beat, I'm lightning on my feet
71.0:And that's what they don't see mmm mmm, that's what they don't see mmm mmm
77.0:I'm dancing on my own (dancing on my own),
79.2:I'll make the moves up as I go (moves up as I go)
82.3:And that's what they don't know mmm mmm, that's what they don't know mmm mmm
89.0:But I keep cruising, can't stop, won't stop grooving
94.1:It's like I got this music in my mind saying it's gonna be alright
101.2:'Cause the players gonna play, play, play, play, play
104.2:And the haters gonna hate, hate, hate, hate, hate
107.2:Baby, I'm just gonna shake, shake, shake, shake, shake
110.2:I shake it off, I shake it off
113.3:Heartbreakers gonna break, break, break, break, break
116.2:And the fakers gonna fake, fake, fake, fake, fake
119.2:Baby, I'm just gonna shake, shake, shake, shake, shake
122.2:I shake it off, I shake it off
125.2:I shake it off, I shake it off
127.3:I, I shake it off, I shake it off
131.0:I, I shake it off, I shake it off
134.0:I, I shake it off, I shake it off
138.2:Hey, hey, hey
140.1:Just think while you've been getting down and out about the liars and the dirty, dirty cheats in the world
145.1:You could have been getting down to this sick beat
150.0:My ex-man brought his new girlfriend
152.2:She's like "Oh my God", but I'm just gonna shake it
155.1:And to the fella over there with the hella good hair
158.2:Won't you come on over, baby, we can shake, shake, shake, yeah oh
164.2:'Cause the players gonna play, play, play, play, play
167.2:And the haters gonna hate, hate, hate, hate, hate (haters gonna hate me)
170.3:Baby, I'm just gonna shake, shake, shake, shake, shake
173.2:I shake it off, I shake it off
176.2:Heartbreakers gonna break, break, break, break, break
179.2:And the fakers gonna fake, fake, fake, fake, fake (the fakers baby)
182.2:Baby, I'm just gonna shake, shake, shake, shake, shake
185.2:I shake it off, I shake it off
189.0:I shake it off, I shake it off
190.3:I, I shake it off, I shake it off
194.0:I, I shake it off, I shake it off
197.0:I, I shake it off, I shake it off
201.0:I shake it off, I shake it off
203.0:I, I shake it off (several times)
230.2:♪(end roll)♪
