0.0:♪♪♪
47.0:Thought I'd end up with Sean
49.1:But he wasn't a match
51.2:Wrote some songs about Ricky
53.3:Now I listen and laugh
56.1:Even almost got married
58.1:And for Pete, I'm so thankful
60.1:Wish I could say, "Thank you" to Malcolm
63.0:'Cause he was an angel
65.0:One taught me love
67.1:One taught me patience
69.1:And one taught me pain
71.1:Now, I'm so amazing
73.1:Say I've loved and I've lost
76.0:But that's not what I see
78.1:So, look what I got
80.2:Look what you taught me
82.3:And for that, I say
84.2:Thank you, next (next)
86.2:Thank you, next (next)
89.0:Thank you, next
90.2:I'm so fuckin' grateful for my ex
93.2:Thank you, next (next)
95.1:Thank you, next (next)
98.0:Thank you, next (next)
99.3:I'm so fuckin'
100.3:Spend more time with my friends
103.1:I ain't worried 'bout nothin'
105.1:Plus, I met someone else
107.2:We havin' better discussions
109.2:I know they say I move on too fast
114.3:'Cause her name is Ari
117.0:And I'm so good with that (so good with that)
118.2:She taught me love (love)
120.3:She taught me patience (patience)
123.0:How she handles pain (pain)
125.2:That shit's amazing (yeah, she's amazing)
127.1:I've loved and I've lost (yeah, yeah)
129.2:But that's not what I see (yeah, yeah)
131.3:'Cause look what I've found (yeah, yeah)
134.1:Ain't no need for searching, and for that, I say
138.1:Thank you, next (thank you, next)
140.2:Thank you, next (thank you, next)
143.0:Thank you, next (thank you)
144.2:I'm so fuckin' grateful for my ex
147.1:Thank you, next (thank you, next)
149.2:Thank you, next (said thank you, next)
152.1:Thank you, next (next)
153.2:I'm so fuckin' grateful for my ex
156.1:Thank you, next (x3)
162.2:I'm so fucking
163.2:One day I'll walk down the aisle
166.0:Holding hands with my mama
168.1:I'll be thanking my dad
170.1:'Cause she grew from the drama
172.2:Only wanna do it once, real bad
175.1:Gon' make that shit last
177.1:God forbid something happens
179.2:Least this song is a smash (song is a smash)
181.1:I've got so much love (love)
183.2:Got so much patience (patience)
186.0:I've learned from the pain (pain)
188.1:I turned out amazing (turned out amazing)
190.3:I've loved and I've lost (yeah, yeah)
192.2:But that's not what I see (yeah, yeah)
194.3:'Cause look what I've found (yeah, yeah)
197.0:Ain't no need for searching
199.2:And for that, I'll say
201.1:♪(chatting)♪
233.1:I've got so much love (love)
235.2:Got so much patience (patience)
238.0:I've learned from the pain (pain)
240.1:I turned out amazing (turned out amazing)
242.2:I've loved and I've lost (yeah, yeah)
244.2:But that's not what I see (yeah, yeah)
246.3:'Cause look what I've found (yeah, yeah)
249.0:Ain't no need for searching, and for that, I say
253.1:Thank you, next (thank you, next)
255.2:Thank you, next (thank you, next)
257.2:Thank you, next
259.1:I'm so fuckin' grateful for my ex
262.1:Thank you, next (thank you, next)
264.1:Thank you, next (said thank you, next)
266.2:Thank you, next (next)
268.1:I'm so fuckin' grateful for my ex
271.1:Thank you, next
273.1:Thank you, next
275.2:Thank you, next
277.1:I'm so fuckin' grateful for my ex
280.0:Thank you, next (several times)
297.2:♪♪♪
322.1:(Thank you next bitch)
