0.0:♪♪♪
14.1:I can see you standin', honey
17.3:With his arms around your body
21.1:Laughin' but the joke's not funny at all
27.3:And it took you five whole minutes
31.1:To pack us up and leave me with it
34.2:Holdin' all this love out here in the hall
40.1:I think I've seen this film before
45.1:And I didn't like the ending
47.3:You're not my homeland anymore
52.1:So what am I defendin' now?
54.2:You were my town
56.2:Now I'm in exile seein' you out
61.2:I think I've seen this film before
67.3:Hoo, hoo-ooh (x3)
80.2:I can see you starin', honey
84.0:Like he's just your understudy
87.1:Like you'd get your knuckles bloody for me
94.0:Second, third, and hundredth chances
97.1:Balancin' on breaking branches
100.2:Those eyes add insult to injury
107.1:I think I've seen this film before
111.2:And I didn't like the ending
114.0:I'm not your problem anymore
118.1:So who am I offending now?
121.0:You were my crown
122.1:Now I'm in exile seein' you out
127.2:I think I've seen this film before
131.0:So I'm leavin' out the side door
135.1:So step right out
138.1:There is no amount
140.2:Of cryin' I can do for you
144.2:All this time
147.0:We always walked a very thin line
150.0:You didn't even hear me out (you didn't even hear me out)
153.1:You never gave a warning sign (I gave so many signs)
157.0:All this time
159.2:I never learned to read your mind (never learned to read my mind)
162.2:I couldn't turn things around (you never turned things around)
165.1:'Cause you never gave a warning sign (I gave so many signs)
171.1:So many signs
174.1:So many signs (you didn't even see the signs)
183.1:I think I've seen this film before
187.1:And I didn't like the ending
189.2:You're not my homeland anymore
193.3:So what am I defending now?
196.2:You were my town
198.1:Now I'm in exile seein' you out
202.1:I think I've seen this film before
206.1:So I'm leaving out the side door
210.2:So step right out
213.2:There is no amount
216.0:Of cryin' I can do for you
219.3:All this time
222.1:We always walked a very thin line
225.2:You didn't even hear me out (you didn't even hear me out)
228.2:You never gave a warning sign (I gave so many signs)
232.2:All this time
235.0:I never learned to read your mind (never learned to read my mind)
238.1:I couldn't turn things around (you never turned things around)
241.1:'Cause you never gave a warning sign (I gave so many signs)
245.0:All this time (so many signs)
247.2:I never learned to read your mind (so many signs)
251.0:I couldn't turn things around (so many signs)
254.0:'Cause you never gave a warning sign (never gave a warning sign)
263.1:♪♪♪
