1.89:時には誰かを 知らず知らずのうちに
9.68:傷つけてしまったり
14.04:失ったりして初めて
19.16:犯した罪を知る
24.56:戻れないよ 昔のようには
29.16:煌めいて見えたとしても
34.86:明日へと歩き出さなきゃ
39.56:雪が降り頻ろうとも
46.86:今の僕には何ができるの?
49.53:何になれるの?
50.7:誰かのために生きるなら
53.96:正しいことばかり言ってらんないよな
57.22:どこかの街で また出逢えたら
59.72:僕の名前を覚えていますか?
62.42:その頃にはきっと
65.62:春風が吹くだろう
69.82:真っ新に生まれ変わって
72.12:人生一から始めようが
74.72:へばりついて離れない
77.12:地続きの今を歩いているんだ
80.12:真っ白に全てさよなら
82.42:降りしきる雪よ
84.38:全てを包み込んでくれ
86.81:今日だけは全てを隠してくれ
98.21:もう戻れないよ 昔のようには
106.61:羨んでしまったとしても
112.31:明日へと歩き出さなきゃ
116.91:雪が降り頻ろうとも
124.21:いつものように笑ってたんだ
126.91:分かり合えると思ってたんだ
129.51:曖昧なサインを見落として
132.31:途方のない間違い探し
134.61:季節を越えて また出逢えたら
137.11:君の名前を呼んでもいいかな
139.81:その頃にはきっと
143.01:春風が吹くだろう
147.21:真っ新に生まれ変わって
149.51:人生一から始めようが
152.11:首の皮一枚繋がった
154.61:如何しようも無い今を 生きていくんだ
157.61:真っ白に全てさよなら
159.81:降りしきる雪よ
161.66:今だけはこの心を凍らせてくれ
165.26:全てを忘れさせてくれよ
191.06:朝目覚めたら どっかの誰かに
194.36:なってやしないかな
197.26:なれやしないよな
0.0:聞き流してくれ
0.0:忙しない日常の中で
0.0:歳だけを重ねた
0.0:その向こう側に
0.0:待ち受けるのは天国か地獄か
0.0:いつだって人は鈍感だもの
0.0:わかりゃしないんだ肚の中
0.0:それでも愛し愛され
0.0:生きて行くのが定めと知って
0.0:後悔ばかりの人生だ
0.0:取り返しのつかない過ちの
0.0:一つや二つくらい
0.0:誰にでもあるよな
0.0:そんなんもんだろう
0.0:うんざりするよ
0.0:真っ新に生まれ変わって
0.0:人生一から始めようが
0.0:へばりついて離れない
0.0:地続きの今を歩いて行くんだ
0.0:真っ白に全てさようなら
0.0:降りしきる雪よ
0.0:全てを包み込んでくれ 今日だけは
0.0:全てを隠してくれ
