0.0:♪(beginning movie)♪
46.1:I promise that you'll never find another like me

48.2:I know that I'm a handful, baby, uh
52.2:I know I never think before I jump
55.1:And you're the kind of guy the ladies want
57.2:(And there's a lot of cool chicks out there)
60.1:I know that I went psycho on the phone
63.0:I never leave well enough alone
65.2:And trouble's gonna follow where I go
68.1:(And there's a lot of cool chicks out there)
70.1:But one of these things is not like the others
73.0:Like a rainbow with all of the colors
75.3:Baby doll, when it comes to a lover
78.1:I promise that you'll never find another like
80.1:Me-e-e, ooh-ooh-ooh-ooh
86.1:I'm the only one of me
89.0:Baby, that's the fun of me
90.2:Eeh-eeh-eeh, ooh-ooh-ooh-ooh
96.2:You're the only one of you
99.1:Baby, that's the fun of you
101.3:And I promise that nobody's gonna love you like me-e-e
105.1:I know I tend to make it about me
108.0:I know you never get just what you see
110.1:But I will never bore you, baby
113.1:(And there's a lot of lame guys out there)
115.2:And when we had that fight out in the rain
118.2:You ran after me and called my name
121.0:I never wanna see you walk away
123.2:(And there's a lot of lame guys out there)
125.2:'Cause one of these things is not like the others
126.2:Livin' in winter, I am your summer
131.1:Baby doll, when it comes to a lover
133.2:I promise that you'll never find another like
135.2:Me-e-e, ooh-ooh-ooh-ooh
141.2:I'm the only one of me
144.1:Let me keep you company
146.0:Eeh-eeh-eeh, ooh-ooh-ooh-ooh
152.1:You're the only one of you
154.2:Baby, that's the fun of you
157.1:And I promise that nobody's gonna love you like me-e-e
160.2:Hey, kids!
161.2:Spelling is fun!
162.3:Girl, there ain't no I in "team"
165.1:But you know there is a "me"
168.1:Strike the band up, one, two, three
170.2:I promise that you'll never find another like me
173.1:Girl, there ain't no I in "team"
176.0:But you know there is a "me"
178.1:And you can't spell "awesome" without "me"
181.1:I promise that you'll never find another like
183.1:Me-e-e (yeah), ooh-ooh-ooh-ooh (and I won't stop, baby)
189.1:I'm the only one of me (I'm the only one of me)
192.0:Baby, that's the fun of me (baby, that's the fun of me)
193.2:Eeh-eeh-eeh, ooh-ooh-ooh-ooh (oh)
199.2:You're the only one of you (oh)
202.1:Baby, that's the fun of you
204.2:And I promise that nobody's gonna love you like me-e-e
207.2:Girl, there ain't no I in "team" (ooh-ooh-ooh-ooh)
210.1:But you know there is a "me"
213.0:I'm the only one of me (oh-oh)
215.2:Baby, that's the fun of me
218.1:Strike the band up, one, two, three
220.3:You can't spell "awesome" without "me"
223.2:You're the only one of you
226.1:Baby, that's the fun of you
228.2:And I promise that nobody's gonna love you like me-e-e
234.1:♪(ending movie)♪
