0.0:♪♪♪
15.25:The club isn't the best place to find a lover
18.03:So the bar is where I go
21.03:Me and my friends at the table doing shots
23.04:Drinking fast and then we talk slow
25.22:Come over and start up a conversation with just me
28.08:And trust me I'll give it a chance now
30.19:Take my hand, stop, put Van the Man on the jukebox
33.08:And then we start to dance, and now I'm singing like
36.03:Girl, you know I want your love
38.17:Your love was handmade for somebody like me
41.14:Come on now, follow my lead
43.17:I may be crazy, don't mind me
45.16:Say, boy, let's not talk too much
48.12:Grab on my waist and put that body on me
51.16:Come on now, follow my lead
53.06:Come, come on now, follow my lead
56.29:I'm in love with the shape of you
59.10:We push and pull like a magnet do
61.25:Although my heart is falling too
64.13:I'm in love with your body
66.24:And last night you were in my room
69.07:And now my bedsheets smell like you
71.08:Every day discovering something brand new
74.12:I'm in love with your body
75.29:Oh—I—oh—I—oh—I—oh—I
79.12:I'm in love with your body
80.30:Oh—I—oh—I—oh—I—oh—I
84.12:I'm in love with your body
86.01:Oh—I—oh—I—oh—I—oh—I
89.12:I'm in love with your body
91.11:Every day discovering something brand new
94.14:I'm in love with the shape of you
96.01:One week in we let the story begin
98.01:We're going out on our first date
100.20:You and me are thrifty, so go all you can eat
103.03:Fill up your bag and I fill up a plate
105.19:We talk for hours and hours about the sweet and the sour
108.03:And how your family is doing okay
110.20:Leave and get in a taxi, then kiss in the backseat
113.05:Tell the driver make the radio play, and I'm singing like
115.29:Girl, you know I want your love
118.14:Your love was handmade for somebody like me
121.14:Come on now, follow my lead
123.14:I may be crazy, don't mind me
125.21:Say, boy, let's not talk too much
128.15:Grab on my waist and put that body on me
131.14:Come on now, follow my lead
133.06:Come, come on now, follow my lead
136.27:I'm in love with the shape of you
139.09:We push and pull like a magnet do
141.24:Although my heart is falling too
144.13:I'm in love with your body
146.23:And last night you were in my room
149.09:And now my bedsheets smell like you
151.08:Every day discovering something brand new
154.12:I'm in love with your body
155.28:Oh—I—oh—I—oh—I—oh—I
159.12:I'm in love with your body
160.29:Oh—I—oh—I—oh—I—oh—I
164.12:I'm in love with your body
165.30:Oh—I—oh—I—oh—I—oh—I
169.12:I'm in love with your body
171.09:Every day discovering something brand new
174.12:I'm in love with the shape of you
176.09:Come on, be my baby, come on (x8)
196.00:♪(movie)♪
197.30:I'm in love with the shape of you
200.16:We push and pull like a magnet do
202.28:Although my heart is falling too
205.17:I'm in love with your body
207.27:Last night you were in my room
210.11:And now my bedsheets smell like you
212.12:Every day discovering something brand new
215.15:I'm in love with your body
217.11:Come on, be my baby, come on (x2)
220.13:I'm in love with your body
222.12:Come on, be my baby, come on (x2)
225.24:I'm in love with your body
227.11:Come on, be my baby, come on (x2)
230.19:I'm in love with your body
232.11:Every day discovering something brand new
235.14:I'm in love with the shape of you
238.17:♪(ending)♪
