0.0:例えば君の顔に昔より
18.5:シワが増えても それでもいいんだ
23.5:僕がギターを思うように弾けなくなっても
28.5:心の歌は君で溢れているよ
33.5:高い声も出せずに思い通り歌えない
38.0:それでもうなずきながら一緒に歌ってくれるかな
43.5:割れんばかりの拍手も
45.5:響き渡る歓声もいらない
48.0:君だけ 分かってよ 分かってよ
53.0:Darlin' 夢が叶ったの
58.0:お似合いの言葉が見つからないよ
63.0:Darlin' 夢が叶ったの
68.0:「愛してる」
70.5:たった一度の たった一人の
75.0:生まれてきた幸せ味わってるんだよ
80.5:今日がメインディッシュで
82.5:終わりの日には甘酸っぱいデザートを食べるの
86.5:山も谷も全部フルコースで
90.0:気が利くような言葉はいらない
93.0:素晴らしい特別もいらない
95.5:ただずっと ずっと側に置いていてよ
100.0:僕の想いは歳をとると増えてくばっかだ
105.5:好きだよ 分かってよ 分かってよ
110.0:ねえ darlin' 夢が叶ったの
115.0:お似合いの言葉が見つからないよ
120.5:Darlin' 夢が叶ったの
125.0:愛が溢れていく
152.5:君が僕を忘れてしまっても
157.0:ちょっと辛いけど それでもいいから
162.0:僕より先に どこか遠くに
167.0:旅立つことは 絶対 許さないから
172.0:生まれ変わったとしても
174.0:出会い方が最悪でも
177.0:また僕は君に恋するんだよ
182.0:僕の心は君にいつも片想い
187.0:好きだよ
188.0:分かってよ 分かってよ 分かってよ
194.0:Darlin' 夢が叶ったの
199.5:お似合いの言葉が見つからないよ
204.5:Darlin' 夢が叶ったの
209.0:ねえ darlin'「愛してる」
