0.0:♪♪♪
4.1:Mhmmm ceejah
10.0:Can't diss man from Trinidad
11.9:Barbados neither
14.7:Sometimes I wonder if
16.6:God would forgive me for the things I did
18.5:I know I'm not perfect and it's not worth it
20.5:as long as I'm living is nuff drillin
22.8:Sometimes I wonder if
24.6:you would forgive me for all my sins
26.6:Responsible for all D killings
28.6:Big casket fi him down in allens
31.2:We have gun wah go duff duff
32.6:Dog weh go ruff ruff
33.5:Tell dah likkle pussyhole fi
34.5:Put away him doos doos
35.7:Cuz dat cyah save yuh when de east man rise
37.9:De ting weh tall like arima bush
39.6:Down inna me heart
40.2:Ah evil eye evil fingers and evil eyes
43.3:If yuh diss ceejay well nuff people die
45.2:Chu bullet longer dan KFC fries
47.2:And we ah murder dem dem ah nobody cuh
48.8:Nobody never heard ah dem torture
50.3:De raper boy ah bet him never touch ah girl again
52.6:Famous and dead look him face PON CNN (face PON CNN)
55.8:We nuh fair people ah people fear we
59.3:When we rise D walter and D M60
63.9:We nuh fair people nuh people fear weee (Yeaaa)
71.0:Guns, girls and money we ah well stack
73.5:Boi yuh better watch yuh headback
75.6:Boi cudda cum first place in olympic race
78.1:Wen yuh hear D gun crack
79.3:De killy dem dressup inna all black
81.6:Kick down yuh door ah no knock knock
83.4:Somebody aks Alexander or TV6
85.9:Cuh de tape him beyond dat
87.4:Now we ah go murder de big rat
89.3:PON social media ah chat chat
91.3:And ah talk we take dem style
92.7:And we talk dem lyrics question
94.4:Wat style you got
95.3:Like D boi have sum screw slack
97.3:Boi yuh head top cyah screw back
99.3:And me nah go lie me hear sum ah yuh
101.0:Song dem likkle boi these have two crack
103.5:Cuz one ting bout my team we ever strap
105.3:One gun inna me head two in my pocket back
107.3:So likkle boi give D jacket to Jack
109.3:Gayeesa weh we from and we have it lock
111.3:We have gun wah go duff duff
112.6:Dog weh go ruff ruff
113.6:Tell de likkle pussyhole
114.6:Put away him doos doos
115.5:Cuz dat cyah save yuh when de east man rise
118.0:De ting weh tall like arima bush
119.6:Down inna me heart
120.3:Ah evil eye evil fingers and evil eyes
123.4:If yuh diss ceejay well nuff people die
125.4:Chu bullet longer dan KFC fries
127.3:And we ah murder dem dem ah nobody
128.8:Cuh nobody never heard ah dem torture
130.4:De raper boy ah bet him never touch ah girl again
132.6:Famous and dead look him face PON CNN (Mhmmm)
135.9:We nuh fair people ah people fear we
139.4:When we rise D walter and D M60
143.9:We nuh fair people nuh people fear weee (Yeaaa)
151.7:We have gun full ah sin
153.1:Nuff murdering
154.1:Shelly dan Hold D ting taller dan him
156.1:Good ting dem never cum to me with fuckry
157.9:Cuz inna de morgue dem body would ve been
160.2:And we ah empty D whole clip
161.9:And when D shots done me reload it
163.9:Cuz sum boi girlfriend down
165.2:Inna me dm and ah ah tell me him
166.6:Can't control it
167.8:And she tell me she love off me music
169.8:Treasure yuh life before you loose it
171.8:Cuz bajan badman dem nuh flash gun
174.6:No dem will shoot it
175.6:Cuh we ah murder dem
176.7:Dem ah nobody cuh nobody
177.8:Never head ah dem
178.6:Torture D raper boi
179.7:I bet Him never touch ah girl again
181.1:Famous and dead look him face PON CNN
183.4:Like D boi have sum screw slack
185.4:Boi yuh head top cyah screw back
187.4:So likkle boi give D jacket to Jack
189.3:Gayeesa way we from and we have it lock
191.2:We have gun wah go duff duff
192.6:Dog weh go ruff ruff
193.6:Tell de likkle pussyhole
194.7:Put away him doos doos
195.9:Cuh day cyah save yuh when D eastman dem rise
198.0:de ting weh tall like arima bush
199.6:Down inna heart ah evil eye
201.6:evil fingers and evil eyes
203.3:If yuh diss ceejah well nuff people die
205.3:Cuh bullet longer dan KFC fries
207.3:And we ah murder dem
208.3:Dem ah nobody cuh nobody
209.4:Never heard ah dem torture de raper boy
211.3:Ah bet him never touch ah girl again
212.6:Famous and dead look him face PON CNN
214.8:(Mhmmm)
