0.0:♪♪♪
20.2:Right now, I'm in a state of mind
25.2:I wanna be in like all the time
30.1:Ain't got no tears left to cry
34.1:So I'm pickin' it up, pickin' it up
36.2:I'm lovin', I'm livin', I'm pickin' it up
38.3:I'm pickin' it up, pickin' it up
40.2:I'm lovin', I'm livin', I'm pickin' it up (oh, yeah)
42.3:I'm pickin' it up (yeah), pickin' it up (yeah)
44.2:Lovin', I'm livin', so we turnin' up
47.1:Yeah, we turnin' it up
50.2:Ain't got no tears in my body
52.2:I ran out, but boy, I like it, I like it, I like it
58.2:Don't matter how, what, where, who tries it
61.2:We're out here vibin', we vibin', we vibin'
66.1:Comin' out, even when it's rainin' down
70.1:Can't stop now, can't stop so shut your mouth
74.1:Shut your mouth, and if you don't know
76.2:Then now you know it, babe
79.3:Know it, babe, yeah
82.1:Right now, I'm in a state of mind
86.1:I wanna be in, like, all the time
90.1:Ain't got no tears left to cry
93.1:So I'm pickin' it up, pickin' it up (oh yeah)
95.3:I'm lovin', I'm livin', I'm pickin' it up
97.2:Oh, I just want you to come with me
102.0:We're on another mentality
105.3:Ain't got no tears left to cry
109.1:So I'm pickin' it up, pickin' it up
111.2:I'm lovin', I'm livin', I'm pickin' it up
113.2:Pickin' it up, pickin' it up
115.2:I'm lovin', I'm livin', I'm pickin' it up (oh, yeah)
118.0:Yeah, we turnin' it up
120.3:They point out the colors in you, I see 'em too
124.2:And, boy, I like 'em, I like 'em, I like 'em
129.2:We're way too fly to partake in all this hate
132.2:We out here vibin', we vibin', we vibin'
137.1:Comin' out, even when it's rainin' down
141.1:Can't stop now, can't stop, so shut your mouth
145.0:Shut your mouth, and if you don't know
148.1:Then now you know it, babe
150.3:Know it, babe, yeah
152.3:Right now, I'm in a state of mind
157.1:I wanna be in, like, all the time
161.0:Ain't got no tears left to cry
164.1:So I'm pickin' it up, pickin' it up (oh yeah)
167.0:I'm lovin', I'm livin', I'm pickin' it up
168.2:Oh, I just want you to come with me
173.0:We're on another mentality
176.2:Ain't got no tears left to cry (so don't cry)
180.0:So I'm pickin' it up, pickin' it up (oh yeah)
182.2:I'm lovin', I'm livin', I'm pickin' it up
184.2:Comin' out, even when it's rainin' down
188.2:Can't stop now
192.1:Shut your mouth
194.2:Ain't got no tears left to cry
197.2:Oh yeah, oh yeah
200.2:Oh, I just want you to come with me
204.1:We're on another mentality
208.1:Ain't got no tears left to cry (cry)
211.2:So I'm pickin' it up, pickin' it up (oh yeah)
214.0:I'm lovin', I'm livin', I'm pickin' it up
216.1:Pickin' it up (yeah), pickin' it up (yeah)
218.0:Lovin', I'm livin', so we turnin' up
220.1:Yeah, we turnin' it up
