♪♪♪
僕は浮かれてて　気づかなかったんだ
彼女の瞳の中に灯る炎と
僕の心を支配していたカオスにさ
「さよなら」って囁いて　そして　彼女は飛行機で去った
二度と戻らない
けど　僕の心には今でも・・・
この恋で　僕は相当振り回されたんだ
今まで　彼女は何度も「さよなら」ってさ
今も　僕の前で　彼女は泣いてるよ
でも　僕に選択肢は無いんだよ　だって　さよならを言うつもりはないから
ウォゥ　ウォゥ　ウォゥ
僕は　彼女の欲望を満たすために頑張ったよ
彼女が毎晩来てくれるように
彼女を満足させ続けるのは大変なんだ
ただのゲームみたいに　愛を演じ続けて
同じように感じてるフリをして
すると　そっぽを向いて　またいなくなっちゃうんだ
でも・・・
この恋で　僕は相当振り回されたんだ
今まで　彼女は何度も「さよなら」ってさ
今も　僕の前で　彼女は泣いてるよ
でも　僕に選択肢は無いんだよ　だって　さよならを言うつもりはないから
ウォゥ　ウォゥ　ウォゥ
僕が　壊れてしまったことを直すよ
君の壊れた翼も治して
それで　すべて上手くいくはずさ
後ろから抱きしめて
僕の指が撫でるんだ
君の体の隅から隅までね
だって　分かってるから　これが君が僕にして欲しいことだろ
この恋で　僕は相当振り回されたんだ
今まで　彼女は何度も「さよなら」ってさ
今も　僕の前で　彼女は泣いてるよ
でも　僕に選択肢は無いんだよ　だって　さよならを言うつもりはないから
この恋で　僕は相当振り回されたんだ
今まで　彼女は何度も「さよなら」ってさ
今も　僕の前で　彼女は泣いてるよ
今まで　彼女は何度も「さよなら」ってさ
この恋で　僕は相当振り回されたんだ
今まで　彼女は何度も「さよなら」ってさ
今も　僕の前で　彼女は泣いてるよ
でも　僕に選択肢は無いんだよ　だって　さよならを言うつもりはないから
