君は星を見ながら僕の体を引くので
ただ一度月明かりを僕の目に焼きつけた
Every time I look up in the sky
たった一つもないstar
1人にはしないから
あの月を寂しくさせないで
君は星を見ながら僕の手を引いて
夕暮れの屋上に腰掛ける
Every time I look up in the sky
たった一つもないstar
大丈夫さ君が僕の宇宙で明るく輝いてくれ
こんな歌詞の一言が
君を慰めるなら僕はペンを握るよ
刺激的なものより
本音で話すことができるんだ
All day
猫よりも君は子犬みたいだ
僕を待っていたね
一日中何がそんなに悲しかったのかな
この星で君が一番特別なんだ
君はそんなこと全く知らないでしょ
You want some more
なぜ何度も君を追い込んだんだろう
You want some more
Sky is nothing to believe
君は星を見ながら僕の手を引いて
夕暮れの屋上に腰掛ける
Every time I look up in the sky
たった一つもないstar
大丈夫さ君が僕の宇宙で明るく輝いてくれ
あのさ僕は君がまれに
深刻になる時いつも驚くんだ
君を慰める手が僕にはなくて
今僕は行き場を失った星
僕を引っ張る力は君なんだ
君は星を失った空のようにさまよっていく
僕たちが通った道が星座のようで
僕と君のその道を追う
僕を思い出してくれ oh
You want some more
なぜ何度も君を追い込んだんだろう
You want some more
Sky is nothing to believe
君は星を見ながら僕の手を引いて
夕暮れの屋上に腰掛ける
Every time I look up in the sky
たった一つもないstar
大丈夫さ君が僕の宇宙で明るく輝いてくれ
Girl, I don't know why I’m leaving
Girl, I don't know why
最初からまた教えてよ
Girl, I don't know why I’m leaving
Girl, I don't know why
君は星を見ながら僕の手を引いて
夕暮れの屋上に腰掛ける
Every time I look up in the sky
たった一つもないstar
大丈夫さ君が僕の宇宙で明るく輝いてくれ
必ず君のような人を探し出すよ
君を引いてみよう
Every time I look up in the sky
たった一つもないstar
大丈夫さ君が僕の宇宙で明るく輝いてくれ
