♪♪♪
遅くまで夜遊びばかりで頭の中は空っぽ
みんなはそう言ってる、みんなはそう言ってる
沢山デートに行っても長続きしない
とにかくみんなはそう言ってる、みんなはそう言ってる
それでも関係ない、止まれないし、止まるつもりもない
心の中にあるこの曲が「きっと大丈夫だ」って
歌いたい人は歌い続けて
妬む人はずっと妬むし
私は只踊って踊りまくるし
そんなのどうでも良い事
傷つける人達はずっと傷つけるし
嘘つき達はウソをつき続けるし
ベイビー私はただ踊って踊り続ける
そんなの気にしてなんかいられない
動揺なんてしない、足取りも軽く
みんなそれに気づかない、みんなそれに気づかない
一人で踊っている
どんどん激しくなっていくけど
みんなそれを知らないの、みんなそれを知らないの
それでも関係ない、止まれないし、止まるつもりもない
心の中にあるこの曲が「きっと大丈夫だ」って
歌いたい人は歌い続けて
妬む人はずっと妬むし
私は只踊って踊りまくるし
そんなのどうでも良い事
傷つける人達はずっと傷つけるし
嘘つき達はウソをつき続けるし
ベイビー私はただ踊って踊り続ける
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
ヘイ、ヘイ、ヘイ
考えてみて、嘘つきや汚い人間とかそんなやつとの関係で落ち込むくらいなら
この病みつきになるビートに乗っちゃえば良かったんだよ
元彼が新しいガールフレンドを連れて来て
「嘘でしょ」って感じだけどそんなの気にしないの
そこの素敵な髪の男の子に
こっち来ないって一緒に踊るのよ
歌いたい人は歌い続けて
妬む人はずっと妬むし
私は只踊って踊りまくるし
そんなのどうでも良い事
傷つける人達はずっと傷つけるし
嘘つき達はウソをつき続けるし
ベイビー私はただ踊って踊り続ける
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
そんなの気にしてなんかいられない
♪(エンドロール)♪
